##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_90000402_DESC;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;It's time to warn these breakaway republics.;x
EVT_90000402_A;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;Demand reincorporation!;x
EVT_90000402_B;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;Make them satellite states of ours.;x
EVT_90000402_C;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;Let them go their own way;x
EVT_90000403_NAME;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;x
EVT_90000403_DESC;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;x
EVT_90000404_NAME;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;x
EVT_90000404_DESC;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;The Soviets have demanded we re-join them!;x
EVT_90000405_NAME;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;x
EVT_90000405_DESC;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;x
EVT_90000406_NAME;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;Soviet demands;x
EVT_90000406_DESC;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;The Soviets have demanded that we become their puppet!;x
EVT_90000406_NAME;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;x
EVT_90000406_DESC;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;x
EVT_90000407_NAME;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;Independence!;x
EVT_90000407_DESC;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;Now that we are independent we should decide on our policy;x
CA_SOV;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;Align with the Soviet Union;x
CA_IND;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;Non-alignment is best;x
CA_AXI;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;x
EVT_90000409_NAME;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;They refuse our demands!;x
EVT_90000409_DESC;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;The Central Asian Republics have refused our demands, it is time to persuade them otherwise…;x
EVT_90000409_B;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;Back down…;x
EVT_90000410_NAME;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;Turkestan Military;x
EVT_90000410_DESC;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;Thousands of Turkic Soviets defected to our side!;x
EVT_90000411_NAME;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;Alash Orda!;x
EVT_90000411_DESC;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;Thousands of Kazakh Soviets defected to our side!;x
EVT_90000412_NAME;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;Turkic and Kazakh soldiers defect;x
EVT_90000412_DESC;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;Thousands of Turkic and Kazakh soldiers defect!;x
EVT_90000413_NAME;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;German aid to Turkestan?;x
EVT_90000413_DESC;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;x
EVT_90000413_A;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;x
EVT_90000413_B;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;x
EVT_90000413_C;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;x
EVT_90000414_NAME;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;German aid to Kazakhstan?;x
EVT_90000414_DESC;Now that war broke out between the Soviet Union and Kazakhstan, perhaps we should support Kazakhstan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;Now that war broke out between the Soviet Union and Turkestan, perhaps we should support Turkestan to expand our influence in Central Asia.;x
EVT_90000414_A;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;Send them aid;x
EVT_90000414_B;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;Send them aid and control their army;x
EVT_90000414_C;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;We shouldn't anger the Soviets.;x
EVT_90000415_NAME;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;x
EVT_90000415_DESC;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;x
EVT_90000416_NAME;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;German aid arrives!;x
EVT_90000416_DESC;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;The Germans have sent us aid to fight against the Soviets!;x
EVT_90000417_NAME;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;Aid to our Turkic brothers?;x
EVT_90000417_DESC;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;The Soviets are fighting against our Turkic brothers in Central Asia. Should we support the anti-Soviet independence movements?;x
EVT_90000418_NAME;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;x
EVT_90000418_DESC;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;x
EVT_90000419_NAME;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;Turkish aid arrives!;x
EVT_90000419_DESC;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;Our brothers from Turkey have sent us military aid!;x
EVT_90000420_NAME;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;Uzbeks leave for Turkestan;x
EVT_90000420_DESC;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;Ethnic Uzbeks are crossing into Turkestan to help their brethern against the Soviets.;x
EVT_90000420_A;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;There's nothing we can do.;x
EVT_90000420_B;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;Give them some arms and supplies as well.;x
EVT_90000421_NAME;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;Uzbeks from Afghanistan;x
EVT_90000421_DESC;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;Uzbeks from Afghanistan have joined our struggle for independence. ;x
EVT_90000422_NAME;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;Caucasians want to fight;x
EVT_90000422_DESC;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;Caucasians want to fight to help Turkestan or Kazakhstan against Soviet Russia. They consider it a holy war. Since the Caucasus is under our control they will need our permission of course…;x
EVT_90000422_A;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;Allow them to go.;x
EVT_90000422_B;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;Refuse this;x
EVT_90000423_NAME;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;Caucasians leave for Central Asia;x
EVT_90000423_DESC;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;Caucasian volunteers leave for Central Asia;x
EVT_90000424_NAME;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;Caucasian volunteers;x
EVT_90000424_DESC;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;Caucasian volunteers arrive to help our struggle.;x
EVT_90000425_NAME;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;Surrender?;x
EVT_90000425_DESC;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;The war has lasted for over a year, perhaps it is time to surrender?;x
EVT_90000426_NAME;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;Turkestan defeated!;x
EVT_90000426_DESC;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;x
EVT_90000427_NAME;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;Kazakhstan defeated!;x
EVT_90000427_DESC;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;Our army defeated the terrorists in Central Asia!;x
EVT_90000428_NAME;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;Orenburg uprising;x
EVT_90000428_DESC;Reactionary forces loyal to White traitor emigrants have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;Reactionary forces have staged an uprising in Orenburg!;x
EVT_90000430_NAME;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;x
